Symbol,Entry Time,Exit Time,Exit Reason,Underlying Entry Price,Underlying Exit Price,Call Strike,Put Strike,Call Entry Premium,Put Entry Premium,Total Premium Collected,Call Exit Premium,Put Exit Premium,Entry Slippage,Exit Slippage,Total Slippage Paid,Fees Paid,Call SL Hit,Put SL Hit,Trade Duration (hours),Net PnL
BTCUSDT,2026-04-15 19:00:00,2026-04-17 13:00:00,Call SL Hit,75119.5,77370.0,82600.0,67600.0,412.4384098425562,287.4517240225023,699.8901338650585,568.0428137322197,387.1737261907292,55.99121070920468,76.41732319383591,132.4085339030406,90.37544999999999,True,True,42.0,-478.1103899609309
BTCUSDT,2026-04-17 14:00:00,2026-04-24 14:00:00,Expiry,77821.5,77950.5,85600.0,70000.0,423.86544938372754,294.34666110839134,718.2121104921189,0.0,410.4926359821875,57.45696883936951,32.839410878575,90.29637971794452,92.91375,False,True,168.0,124.50934479198683
BTCUSDT,2026-04-24 15:00:00,2026-05-01 15:00:00,Expiry,77964.0,78268.5,85800.0,70200.0,419.5891038276004,302.77884122441174,722.3679450520121,0.0,0.0,57.78943560416097,0.0,57.78943560416097,93.73949999999999,False,False,168.0,570.8390094478511
BTCUSDT,2026-05-01 16:00:00,2026-05-08 16:00:00,Expiry,78238.5,79791.5,86100.0,70400.0,421.3092837562199,298.64272568762044,719.9520094438403,0.0,0.0,57.59616075550723,0.0,57.59616075550723,94.818,False,False,168.0,567.5378486883332
BTCUSDT,2026-05-08 17:00:00,2026-05-15 17:00:00,Expiry,80170.5,79461.5,88200.0,72200.0,434.7600717139703,312.82036435041937,747.5804360643897,0.0,0.0,59.80643488515118,0.0,59.80643488515118,95.77919999999999,False,False,168.0,591.9948011792386
BTCUSDT,2026-05-15 18:00:00,2026-05-22 18:00:00,Expiry,79256.0,76480.0,87200.0,71300.0,429.08874809042027,300.82603104670943,729.9147791371297,0.0,0.0,58.393182330970376,0.0,58.393182330970376,93.4416,False,False,168.0,578.0799968061594
BTCUSDT,2026-05-22 19:00:00,2026-05-29 19:00:00,Expiry,75801.0,73546.5,83400.0,68200.0,410.23145852821654,288.60470548781996,698.8361640160365,0.0,388.230597241758,55.90689312128292,31.058447779340643,86.96534090062356,89.89574999999999,False,True,168.0,133.74447587365495
BTCUSDT,2026-05-29 20:00:00,2026-06-05 20:00:00,Expiry,73673.0,61670.5,81000.0,66300.0,405.6154892515078,282.1037038423965,687.7191930939043,0.0,383.5699630013896,55.017535447512344,30.68559704011117,85.70313248762352,83.72805,False,True,168.0,134.71804760489115
BTCUSDT,2026-06-05 21:00:00,2026-06-08 00:00:00,Call SL Hit,61651.5,63606.0,67800.0,55500.0,337.4118651827448,238.10152021570502,575.5133853984498,439.93079793951256,335.72975056496307,46.041070831875984,62.05284388035805,108.09391471223404,74.26079999999999,True,True,51.0,-382.50187781825986
BTCUSDT,2026-06-08 01:00:00,2026-06-15 01:00:00,Expiry,63132.0,65431.0,69400.0,56800.0,348.8464313597633,240.21650193245023,589.0629332922135,0.0,369.1109787633068,47.125034663377086,29.52887830106454,76.65391296444163,75.81989999999999,False,True,168.0,67.4781415644652
BTCUSDT,2026-06-15 02:00:00,2026-06-22 02:00:00,Expiry,65384.0,64240.5,71900.0,58800.0,358.39878512165706,245.94337476320015,604.3421598848572,496.7291128761426,0.0,48.347372790788576,39.73832903009141,88.08570182087999,78.46034999999999,True,False,168.0,-58.93300481216538
BTCUSDT,2026-06-22 03:00:00,2026-06-23 08:00:00,Both SL Hit,63916.5,62374.0,70300.0,57500.0,348.73527127809757,242.56665522689127,591.3019265049888,508.82505475977086,325.13104671368274,47.304154120399104,66.7164881178763,114.02064223827539,76.60695,True,True,29.0,-433.2817672067401
